Trimestre,Activos,Var. Activos trimestre anterior,Var. Activos trimestre anterior (%),Ocupados,Var. Ocupados trimestre anterior,Ocupados sobre total (%),Var. ocupados trimestre anterior (%),Parados,Var. Parados trimestre anterior,Parados sobre total (%),Var. parados trimestre anterior (%),Tasa de actividad (%),Var. Tasa de Actividad trimestre anterior (%)
2020T2,21975.20,-1019.00,-4.64,18607.20,-1074.10,84.67,-5.77,3368.00,55.00,15.33,1.63,55.50,-2.70
2020T1,22994.20,-164.60,-0.72,19681.30,-285.60,85.59,-1.45,3313.00,121.10,14.41,3.66,58.20,-0.50
2019T4,23158.80,70.10,0.30,19966.90,92.60,86.22,0.46,3191.90,-22.50,13.78,-0.70,58.70,0.00
2019T3,23088.70,53.20,0.23,19874.30,69.40,86.08,0.35,3214.40,-16.20,13.92,-0.50,58.70,0.00
2019T2,23035.50,210.10,0.91,19804.90,333.80,85.98,1.69,3230.60,-123.60,14.02,-3.83,58.70,0.30
2019T1,22825.40,-43.40,-0.19,19471.10,-93.50,85.30,-0.48,3354.20,49.90,14.70,1.49,58.40,-0.20
2018T4,22868.80,14.80,0.06,19564.60,36.60,85.55,0.19,3304.30,-21.70,14.45,-0.66,58.60,-0.10
2018T3,22854.00,19.80,0.09,19528.00,183.90,85.45,0.94,3326.00,-164.10,14.55,-4.93,58.70,-0.10
2018T2,22834.20,163.90,0.72,19344.10,469.90,84.72,2.43,3490.10,-306.00,15.28,-8.77,58.80,0.30
2018T1,22670.30,-94.70,-0.42,18874.20,-124.20,83.26,-0.66,3796.10,29.40,16.74,0.77,58.50,-0.30
2017T4,22765.00,-15.90,-0.07,18998.40,-50.90,83.45,-0.27,3766.70,35.00,16.55,0.93,58.80,-0.10
2017T3,22780.90,53.30,0.23,19049.30,236.00,83.62,1.24,3731.70,-182.60,16.38,-4.89,58.90,0.10
2017T2,22727.60,34.30,0.15,18813.30,375.00,82.78,1.99,3914.30,-340.70,17.22,-8.70,58.80,0.00
2017T1,22693.30,-52.60,-0.23,18438.30,-69.80,81.25,-0.38,4255.00,17.20,18.75,0.40,58.80,-0.20
2016T4,22745.90,-102.40,-0.45,18508.10,-19.40,81.37,-0.10,4237.80,-83.00,18.63,-1.96,59.00,-0.30
2016T3,22848.30,-27.40,-0.12,18527.50,226.50,81.09,1.22,4320.80,-253.90,18.91,-5.88,59.30,-0.10
2016T2,22875.70,54.70,0.24,18301.00,271.40,80.00,1.48,4574.70,-216.70,20.00,-4.74,59.40,0.10
2016T1,22821.00,-52.70,-0.23,18029.60,-64.60,79.00,-0.36,4791.40,11.90,21.00,0.25,59.30,-0.10
2015T4,22873.70,-25.80,-0.11,18094.20,45.50,79.10,0.25,4779.50,-71.30,20.90,-1.49,59.40,-0.10
2015T3,22899.50,-116.00,-0.51,18048.70,182.20,78.82,1.01,4850.80,-298.20,21.18,-6.15,59.50,-0.30
2015T2,23015.50,116.10,0.50,17866.50,411.70,77.63,2.30,5149.00,-295.60,22.37,-5.74,59.80,0.30
2015T1,22899.40,-127.40,-0.56,17454.80,-114.30,76.22,-0.65,5444.60,-13.10,23.78,-0.24,59.50,-0.30
2014T4,23026.80,95.10,0.41,17569.10,65.10,76.30,0.37,5457.70,30.00,23.70,0.55,59.80,0.30
2014T3,22931.70,-44.20,-0.19,17504.00,151.00,76.33,0.86,5427.70,-195.20,23.67,-3.60,59.50,-0.10
2014T2,22975.90,92.00,0.40,17353.00,402.40,75.53,2.32,5622.90,-310.40,24.47,-5.52,59.60,0.10
2014T1,22883.90,-187.00,-0.82,16950.60,-184.60,74.07,-1.09,5933.30,-2.30,25.93,-0.04,59.50,-0.40
2013T4,23070.90,-102.50,-0.44,17135.20,-94.80,74.27,-0.55,5935.60,-7.80,25.73,-0.13,59.90,-0.10
2013T3,23173.40,-34.50,-0.15,17230.00,69.40,74.35,0.40,5943.40,-103.90,25.65,-1.75,60.00,0.00
