PAIS,ID_PROVINCIA,PROVINCIA,SECTOR,2020T2,2019T4,GAP Sectorial 2019T4-2020T2
Spain,1,Araba/Álava,Agricultura,3.6,2.3,-1.3
Spain,2,Albacete,Agricultura,14,12.5,-1.5
Spain,3,Alicante/Alacant,Agricultura,14.3,27.4,13.1
Spain,4,Almería,Agricultura,55.4,74.6,19.2
Spain,5,Avila,Agricultura,5.5,5.8,0.3
Spain,6,Badajoz,Agricultura,31.1,28.5,-2.6
Spain,7,"Balears, Illes",Agricultura,4.7,4.2,-0.5
Spain,8,Barcelona,Agricultura,8.4,7.1,-1.3
Spain,9,Burgos,Agricultura,7.8,8.5,0.7
Spain,10,Cáceres,Agricultura,12.8,12.9,0.1
Spain,11,Cádiz,Agricultura,13.6,14.9,1.3
Spain,12,Castellón/Castelló,Agricultura,8.5,11.9,3.4
Spain,13,Ciudad Real,Agricultura,14.4,16.5,2.1
Spain,14,Córdoba,Agricultura,29.3,29.4,0.1
Spain,15,"Coruña, A",Agricultura,22.4,23.1,0.7
Spain,16,Cuenca,Agricultura,8.8,7.1,-1.7
Spain,17,Girona,Agricultura,6.5,9.1,2.6
Spain,18,Granada,Agricultura,31.3,32.1,0.8
Spain,19,Guadalajara,Agricultura,2.3,0.4,-1.9
Spain,20,Gipuzkoa,Agricultura,2.6,3.6,1
Spain,21,Huelva,Agricultura,42.1,29.5,-12.6
Spain,22,Huesca,Agricultura,13.8,14.4,0.6
Spain,23,Jaén,Agricultura,20.8,31.5,10.7
Spain,24,León,Agricultura,7.3,9,1.7
Spain,25,Lleida,Agricultura,20.4,19.9,-0.5
Spain,26,"Rioja, La",Agricultura,8.8,7.7,-1.1
Spain,27,Lugo,Agricultura,19.1,18.7,-0.4
Spain,28,Madrid,Agricultura,2,5.6,3.6
Spain,29,Málaga,Agricultura,20.8,19.9,-0.9
Spain,30,Murcia,Agricultura,86.6,69.1,-17.5
Spain,31,Navarra,Agricultura,9.6,9.2,-0.4
Spain,32,Ourense,Agricultura,5,4.8,-0.2
Spain,33,Asturias,Agricultura,10.5,12,1.5
Spain,34,Palencia,Agricultura,3.8,5.3,1.5
Spain,35,"Palmas, Las",Agricultura,13.5,11.3,-2.2
Spain,36,Pontevedra,Agricultura,19.8,20,0.2
Spain,37,Salamanca,Agricultura,6.9,8.5,1.6
Spain,38,Santa Cruz de Tenerife,Agricultura,13.9,17,3.1
Spain,39,Cantabria,Agricultura,6.6,6.8,0.2
