ID_PROVINCIA,PROVINCIA,2020T2,2020T1,2019T4,POBLACION_2019,% SOBRE_TOTAL_PROVINCIA_2019,GAP_2019T4_2020T2,% GAP SOBRE TOTAL,Indice % PoblaciÃ³n Activa Perdida / % PoblaciÃ³n Activa,INFECTADOS_T1,INFECTADOS_T2,INFECTADOS_S1,POBLACION_2019 / INFECTADOS_S1,PoblaciÃ³n Activa Destruida / NÂº infectados
1,Araba/Álava,136700,142800,142800,331549,43.07,6100,0.4,1.416299048,2882,656,3538,93.71085359,1.724137931
2,Albacete,144200,146200,150700,388167,38.82,6500,0.5,1.674394642,2824,1929,4753,81.66778876,1.367557332
3,Alicante/Alacant,701600,760800,787600,1858683,42.37,86000,6.3,20.29738022,3662,1708,5370,346.1234637,16.01489758
4,Almería,252700,284500,286900,716820,40.02,34200,2.5,8.545727136,416,320,736,973.9402174,46.4673913
5,Avila,60500,63200,63600,157640,40.35,3100,0.2,0.768277571,1259,918,2177,72.41157556,1.423977951
6,Badajoz,230200,235200,237900,673559,35.32,7700,0.6,2.18006795,679,805,1484,453.8807278,5.188679245
7,"Balears, Illes",512200,503000,570100,1149460,49.6,57900,4.3,11.6733871,1573,787,2360,487.059322,24.53389831
8,Barcelona,2387200,2557000,2569700,5664579,45.36,182500,13.4,40.23368607,26749,19883,46632,121.4740736,3.913621547
9,Burgos,141700,155000,156000,356958,43.7,14300,1.1,3.272311213,1435,1571,3006,118.748503,4.757152362
10,Cáceres,141200,140700,143000,394151,36.28,1800,0.1,0.496141125,1898,1963,3861,102.0852111,0.466200466
11,Cádiz,413600,417800,420400,1240155,33.9,6800,0.5,2.005899705,1008,567,1575,787.4,4.317460317
12,Castellón/Castelló,232800,241400,242800,579962,41.86,10000,0.7,2.388915432,1085,708,1793,323.4590073,5.577244841
13,Ciudad Real,177100,184400,187700,495761,37.86,10600,0.8,2.799788695,5326,2898,8224,60.28222276,1.288910506
14,Córdoba,266300,281500,282800,782979,36.12,16500,1.2,4.568106312,1116,582,1698,461.1183746,9.717314488
15,"Coruña, A",450800,464100,476500,1119596,42.56,25700,1.9,6.038533835,2563,2175,4738,236.301393,5.424229633
16,Cuenca,74700,77600,81000,196329,41.26,6300,0.5,1.526902569,1353,555,1908,102.8977987,3.301886792
17,Girona,324800,348200,356100,771044,46.18,31300,2.3,6.777825899,2325,2415,4740,162.6675105,6.603375527
18,Granada,298800,336500,342000,914678,37.39,43200,3.2,11.55389141,1957,1274,3231,283.094398,13.37047354
19,Guadalajara,108500,117900,122000,257762,47.33,13500,1,2.852313543,1267,607,1874,137.5464248,7.203842049
20,Gipuzkoa,302100,309700,310800,723576,42.95,8700,0.6,2.025611176,1621,877,2498,289.6621297,3.482786229
21,Huelva,199000,194600,189100,521870,36.24,-9900,-0.7,-2.731788079,337,202,539,968.2189239,-18.36734694
22,Huesca,94900,98200,99800,220461,45.27,4900,0.4,1.082394522,456,863,1319,167.1425322,3.714935557
23,Jaén,187700,216200,218200,633564,34.44,30500,2.2,8.855981417,1171,744,1915,330.8428198,15.92689295
24,León,160000,170800,180500,460001,39.24,20500,1.5,5.224260958,1737,2051,3788,121.436378,5.411826822
25,Lleida,190300,204700,206500,434930,47.48,16200,1.2,3.411962932,1306,2339,3645,119.3223594,4.444444444
26,"Rioja, La",135100,138800,140600,316798,44.38,5500,0.4,1.239296981,3035,964,3999,79.21930483,1.375343836
