PAIS,ID_PROVINCIA,PROVINCIA,2020T2,2020T1,2019T4,POBLACION_2019,% SOBRE_TOTAL_PROVINCIA_2019,GAP_2019T4_2020T2,% GAP SOBRE TOTAL,INFECTADOS_T1,INFECTADOS_T2,INFECTADOS_S1,POBLACION_2019 / INFECTADOS_S1
España,1,Araba/Álava,136700,142800,142800,331549,43.07,6100,0.4,2882,656,3538,93.71
España,2,Albacete,144200,146200,150700,388167,38.82,6500,0.5,2824,1929,4753,81.67
España,3,Alicante/Alacant,701600,760800,787600,1858683,42.37,86000,6.3,3662,1708,5370,346.12
España,4,Almería,252700,284500,286900,716820,40.02,34200,2.5,416,320,736,973.94
España,5,Avila,60500,63200,63600,157640,40.35,3100,0.2,1259,918,2177,72.41
España,6,Badajoz,230200,235200,237900,673559,35.32,7700,0.6,679,805,1484,453.88
España,7,"Balears, Illes",512200,503000,570100,1149460,49.6,57900,4.3,1573,787,2360,487.06
España,8,Barcelona,2387200,2557000,2569700,5664579,45.36,182500,13.4,26749,19883,46632,121.47
España,9,Burgos,141700,155000,156000,356958,43.7,14300,1.1,1435,1571,3006,118.75
España,10,Cáceres,141200,140700,143000,394151,36.28,1800,0.1,1898,1963,3861,102.09
España,11,Cádiz,413600,417800,420400,1240155,33.9,6800,0.5,1008,567,1575,787.40
España,12,Castellón/Castelló,232800,241400,242800,579962,41.86,10000,0.7,1085,708,1793,323.46
España,13,Ciudad Real,177100,184400,187700,495761,37.86,10600,0.8,5326,2898,8224,60.28
España,14,Córdoba,266300,281500,282800,782979,36.12,16500,1.2,1116,582,1698,461.12
España,15,"Coruña, A",450800,464100,476500,1119596,42.56,25700,1.9,2563,2175,4738,236.30
España,16,Cuenca,74700,77600,81000,196329,41.26,6300,0.5,1353,555,1908,102.90
España,17,Girona,324800,348200,356100,771044,46.18,31300,2.3,2325,2415,4740,162.67
España,18,Granada,298800,336500,342000,914678,37.39,43200,3.2,1957,1274,3231,283.09
España,19,Guadalajara,108500,117900,122000,257762,47.33,13500,1,1267,607,1874,137.55
España,20,Gipuzkoa,302100,309700,310800,723576,42.95,8700,0.6,1621,877,2498,289.66
España,21,Huelva,199000,194600,189100,521870,36.24,-9900,-0.7,337,202,539,968.22
España,22,Huesca,94900,98200,99800,220461,45.27,4900,0.4,456,863,1319,167.14
España,23,Jaén,187700,216200,218200,633564,34.44,30500,2.2,1171,744,1915,330.84
España,24,León,160000,170800,180500,460001,39.24,20500,1.5,1737,2051,3788,121.44
España,25,Lleida,190300,204700,206500,434930,47.48,16200,1.2,1306,2339,3645,119.32
España,26,"Rioja, La",135100,138800,140600,316798,44.38,5500,0.4,3035,964,3999,79.22
España,27,Lugo,129500,134900,135900,329587,41.23,6400,0.5,637,344,981,335.97
España,28,Madrid,2962600,3147000,3174500,6663394,47.64,211900,15.6,52486,20294,72780,91.56
España,29,Málaga,602000,639500,647900,1661785,38.99,45900,3.4,2597,1542,4139,401.49
España,30,Murcia,590100,604800,611900,1493898,40.96,21800,1.6,1958,556,2514,594.23
España,31,Navarra,271500,284300,287700,654214,43.98,16200,1.2,4896,3016,7912,82.69
España,32,Ourense,109400,112000,112200,307651,36.47,2800,0.2,1121,740,1861,165.31
España,33,Asturias,371300,387600,392000,1022800,38.33,20700,1.5,1597,839,2436,419.87
España,34,Palencia,62800,62500,64400,160980,40,1600,0.1,647,708,1355,118.80
España,35,"Palmas, Las",436900,488900,481600,1120406,42.98,44700,3.3,614,195,809,1384.93
España,36,Pontevedra,360800,372000,371300,942665,39.39,10500,0.8,2016,1184,3200,294.58
España,37,Salamanca,124200,129100,130800,330119,39.62,6600,0.5,2435,1988,4423,74.64
España,38,Santa Cruz de Tenerife,385300,441300,458700,1032983,44.41,73400,5.4,1274,391,1665,620.41
España,39,Cantabria,220200,239200,244700,581078,42.11,24500,1.8,1515,841,2356,246.64
España,40,Segovia,65300,68800,71600,153129,46.76,6300,0.5,2114,1464,3578,42.80
España,41,Sevilla,689000,736600,748800,1942389,38.55,59800,4.4,2086,933,3019,643.39
España,42,Soria,38900,40300,41400,88636,46.71,2500,0.2,1243,1199,2442,36.30
España,43,Tarragona,325200,341400,345700,804664,42.96,20500,1.5,1296,987,2283,352.46
España,44,Teruel,54700,56700,59200,134137,44.13,4500,0.3,381,268,649,206.68
España,45,Toledo,266600,274800,282800,694844,40.7,16200,1.2,3420,1748,5168,134.45
España,46,Valencia/Valéncia,1011300,1072100,1075900,2565124,41.94,64600,4.8,5002,2737,7739,331.45
España,47,Valladolid,213800,230300,231600,519546,44.58,17800,1.3,2353,2495,4848,107.17
España,48,Bizkaia,460800,477500,479700,1152651,41.62,18900,1.4,5144,3476,8620,133.72
España,49,Zamora,59800,64200,64000,172539,37.09,4200,0.3,483,573,1056,163.39
España,50,Zaragoza,412600,427300,432300,964693,44.81,19700,1.4,2683,2177,4860,198.50
España,51,Ceuta,28800,29300,28000,84777,33.03,-800,-0.1,119,103,222,381.88
España,52,Melilla,29500,28300,26900,86487,31.1,-2600,-0.2,106,34,140,617.76
